Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.020445804960197874,0.029848025739192964,tensor(0.1099),2379.3390146484376,276.9152227478028,0.3497460990846157,0.0928105218783021,0.8835899744232767
5,0.012866109050810337,0.012913263589143752,tensor(0.0764),2379.3390146484376,2308.532,0.34974609908461574,0.3474830955117941,0.029762061269808848
10,0.012529059830639098,0.012566502392292022,tensor(0.0754),2379.3390146484376,2331.4737966308594,0.34974609908461574,0.35492991852760314,0.020075056437492023
15,0.012333682262235218,0.012359036691486835,tensor(0.0750),2379.339014648437,2334.681039550781,0.3497460990846157,0.35945803242921825,0.018772625383673497
20,0.012188439961108896,0.0122140696272254,tensor(0.0744),2379.3390146484376,2342.0152536621094,0.34974609908461574,0.362657370314002,0.01562317596297696
25,0.012077858857810497,0.012105859443545341,tensor(0.0742),2379.339014648437,2347.1017275390627,0.34974609908461574,0.3647536345124245,0.01351163496505331
30,0.01199133296807607,0.012024498172104358,tensor(0.0741),2379.339014648437,2348.0584296875,0.3497460990846156,0.3659747644960881,0.013153990427220355
35,0.01192302041583591,0.011954131722450256,tensor(0.0734),2379.3390146484376,2356.6833535156247,0.34974609908461574,0.36802963849902154,0.009493835798966435
40,0.011868932615551683,0.011903181858360767,tensor(0.0733),2379.339014648437,2357.78245703125,0.3497460990846157,0.36862302026152605,0.009058903218143895
45,0.011821702122688293,0.01186726912856102,tensor(0.0739),2379.339014648437,2347.3558264160156,0.34974609908461574,0.3683279722929001,0.013443194882621051
50,0.01178331087446875,0.011819158867001533,tensor(0.0734),2379.3390146484376,2351.499890136719,0.3497460990846156,0.3691714871227741,0.011702885394172613
