Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.25939044505357745,0.21174441874027253,tensor(0.4376),1774.4151284790041,1261.9824299316406,0.49108374516665937,0.41104841071367265,0.28876895780936984
5,0.02272161883302033,0.022894901037216187,tensor(0.0765),1774.4151284790041,1174.7128349609375,0.49108374516665937,0.39503101181238887,0.3379451305111645
10,0.022092033410444856,0.022324236296117305,tensor(0.0791),1774.4151284790041,1199.6488039550782,0.49108374516665937,0.40094770602136853,0.3238937752813008
15,0.021786926221102475,0.022099946811795234,tensor(0.0789),1774.4151284790041,1218.4642578735352,0.49108374516665937,0.40487600427120923,0.31329347755901704
20,0.02159101776778698,0.021986784227192403,tensor(0.0811),1774.4151284790041,1230.4680033569334,0.49108374516665937,0.40733461314439773,0.30653030179918955
25,0.021443940629251302,0.021914140321314335,tensor(0.0811),1774.4151284790041,1235.4976387329102,0.49108374516665937,0.4084932661056519,0.30369584777258524
30,0.02130710892379284,0.021869903057813646,tensor(0.0804),1774.4151284790041,1237.1007532958984,0.49108374516665937,0.4091279899775982,0.30279142773575674
35,0.021182245621457697,0.021887429989874363,tensor(0.0825),1774.4151284790041,1239.4791496582034,0.49108374516665937,0.4097262382805348,0.3014502203848769
40,0.021067124977707862,0.021894190460443497,tensor(0.0826),1774.4151284790041,1240.4441985473636,0.49108374516665937,0.4100318700820208,0.30090560846594905
45,0.020926079293712974,0.021920296549797057,tensor(0.0820),1774.4151284790041,1240.0325692749025,0.49108374516665937,0.41014548970758924,0.30113656605097516
50,0.020779610285535453,0.02192483264952898,tensor(0.0809),1774.4151284790041,1240.4696532592775,0.49108374516665937,0.4103122172951698,0.30088940458488594
