Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.022038142341706486,0.02276669591665268,tensor(0.0997),2423.2352119140623,1551.670510498047,0.33426638655364516,0.3393564174771309,0.3596374577578619
5,0.0213614982035425,0.021382541954517366,tensor(0.0929),2423.2352119140623,1685.3814304199218,0.33426638655364516,0.3551083463579416,0.30442008005951277
10,0.02127523488468594,0.021293404698371887,tensor(0.0926),2423.2352119140623,1678.7744760742185,0.33426638655364516,0.3546082108914852,0.3072286686896194
15,0.021236817869875167,0.021249422058463096,tensor(0.0922),2423.2352119140623,1679.968806152344,0.33426638655364516,0.35398685812950137,0.30664790685829646
20,0.010359424145685301,0.010917948745191097,tensor(0.0726),2423.2352119140623,2291.8236691894535,0.33426638655364516,0.33336955501139165,0.05418378611757206
25,0.009479193968905343,0.009574988298118115,tensor(0.0664),2423.2352119140623,2371.477874023437,0.33426638655364516,0.3325939484089613,0.021342601711697613
30,0.009343145787715912,0.009431183896958828,tensor(0.0656),2423.2352119140623,2385.5827165527344,0.33426638655364516,0.3345901320278644,0.015510391131815803
35,0.009225328597757551,0.009311078302562236,tensor(0.0653),2423.2352119140623,2386.1885205078124,0.33426638655364516,0.3361176111251116,0.015245478374303892
40,0.009136131674879127,0.00921990443021059,tensor(0.0650),2423.2352119140623,2393.9452426757816,0.33426638655364516,0.33788299818336964,0.012044753579885341
45,0.009066386189725663,0.009149111807346344,tensor(0.0645),2423.2352119140623,2405.9055747070315,0.33426638655364516,0.3405845767110586,0.007071661895705389
50,0.009012979745037026,0.00909548457711935,tensor(0.0646),2423.2352119140623,2402.8745427246095,0.33426638655364516,0.3417922965288162,0.008382069533954291
