Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.875748760998249,0.14074427783489227,tensor(0.3330),2304.757017211914,-2938.31469373703,0.42355759476125243,0.12586184330239514,2.2764205680548057
5,0.015989694022573532,0.015705564990639687,tensor(0.0832),2304.7570172119144,2096.2818028564457,0.42355759476125243,0.4084183459576452,0.09056609566720102
10,0.014693718263879418,0.014568948280066251,tensor(0.0782),2304.7570172119144,2219.7074619445802,0.42355759476125243,0.4306778945014812,0.03684708592175496
15,0.014210954471491278,0.014123343024402856,tensor(0.0759),2304.757017211914,2255.232418457031,0.4235575947612523,0.43970375683903695,0.021472802273721975
20,0.013975218962877988,0.013903963100165128,tensor(0.0749),2304.7570172119144,2269.606827026367,0.4235575947612523,0.44656500338017946,0.015214288671873119
25,0.01384622675832361,0.01378073450177908,tensor(0.0741),2304.7570172119135,2276.7888576660157,0.42355759476125243,0.4487835502773524,0.012100846942427582
30,0.0137522955192253,0.013684320729225874,tensor(0.0736),2304.757017211914,2278.2093914794923,0.4235575947612523,0.45031764836609367,0.011482841222065712
35,0.013681309088133276,0.013614211603999138,tensor(0.0731),2304.7570172119135,2281.627047973633,0.42355759476125243,0.4503850018829108,0.009985121305129317
40,0.01362075968645513,0.013552128989249467,tensor(0.0730),2304.7570172119144,2281.2124594726565,0.42355759476125243,0.4527789549082518,0.010155166823899844
45,0.01356810387223959,0.013500894792377949,tensor(0.0729),2304.757017211914,2279.354231933594,0.42355759476125243,0.4548930371403694,0.011000442499995735
50,0.013507042336277664,0.013439489621669054,tensor(0.0721),2304.757017211914,2293.8246520996095,0.42355759476125243,0.4542871869802475,0.004671686253324261
55,0.01346150333993137,0.013392977695912123,tensor(0.0720),2304.7570172119144,2289.5142183837893,0.42355759476125243,0.4554506901949645,0.006557704293181618
60,0.01342047352809459,0.013355032727122306,tensor(0.0719),2304.757017211914,2293.7621446533203,0.42355759476125243,0.4564399997442961,0.004748379802435381
65,0.013390846271067857,0.013323775678873061,tensor(0.0717),2304.757017211914,2293.1341158447267,0.42355759476125243,0.45456024561822417,0.005014803681189684
70,0.013358267536386848,0.01329190395772457,tensor(0.0716),2304.757017211914,2287.3334406738277,0.42355759476125243,0.4553285088092089,0.007525403885473523
75,0.013332334836013615,0.013264383003115655,tensor(0.0717),2304.757017211914,2288.0123074951166,0.42355759476125243,0.45747338633239265,0.00725381374567622
80,0.013307519792579114,0.013240222539752721,tensor(0.0715),2304.757017211914,2293.6742420654296,0.42355759476125243,0.458056343883276,0.004736253478540632
85,0.013284584321081639,0.01321778930723667,tensor(0.0714),2304.757017211914,2284.1363692626956,0.42355759476125243,0.4565870904773474,0.008932637330523335
90,0.013262738892808556,0.013201616797596216,tensor(0.0717),2304.757017211914,2287.844606689453,0.4235575947612523,0.46003009276092055,0.007316924095280777
95,0.013244993612170219,0.013180890493094921,tensor(0.0714),2304.757017211914,2285.7608823242185,0.42355759476125243,0.45790415726602074,0.008210011802089596
100,0.013227659068070352,0.013160925451666116,tensor(0.0715),2304.7570172119144,2286.1422048339846,0.42355759476125243,0.45990135294198986,0.008038066207542235
